dataset,method,method_display,raw_method_key,seed,edge_removal_rate,test_macro_f1,val_macro_f1,test_accuracy,test_worst_class_f1,train_seconds,prune_seconds,giant_component_ratio,bridge_preservation,minority_degree_retention,minority_isolation_rate,clustering,num_components,degree_ks,retained_edge_ratio,source_file
facebook,cailp_a31,Task-only,cailp_a31,6,0.5,0.8849570975490685,0.8832609347854626,0.8918558077436582,0.8390712570056045,2032.8650274170004,0.03022137500011013,0.34686248331108144,0.08678102926337034,0.23009449073419078,0.8981064021641119,0.12869882368988475,14522.0,0.6427236315086783,0.4999970729936835,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.6,0.8825533128626335,0.8832043325918111,0.8887405429461505,0.8415124698310539,2032.8650274170004,0.027997916999083827,0.2692923898531375,0.08139926000672722,0.2040069808021214,0.9185452359483017,0.09880873109944965,16127.0,0.7104583889630619,0.3999988291974734,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.7,0.8871349170521945,0.8834535555611643,0.8929684023141967,0.8477564102564102,2032.8650274170004,0.02882595799928822,0.18108589230084557,0.07467204843592332,0.16481096651093932,0.9422903516681695,0.07695727683322003,17874.0,0.7853582554517134,0.3000005854012633,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.8,0.8890361522205092,0.8853733506535277,0.8954161103693814,0.8485342019543974,2032.8650274170004,0.022245207999731065,0.1207832665776591,0.06525395223679785,0.07434619279426274,0.961526901112113,0.05436547484305935,19190.0,0.8435692033822875,0.20000234160505317,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.9,0.8892060239616557,0.8852654481819957,0.894971072541166,0.849445324881141,2032.8650274170004,0.0204647919999843,0.06515353805073432,0.048772283888328286,0.006699896192858557,0.9891794409377818,0.0297485869320773,20547.0,0.9048954161103694,0.09999824379621011,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,7,0.1,0.926045935941282,0.9222341029773821,0.9299065420560748,0.897138437741686,1351.6681134169994,0.09179441699961899,0.8854027592345349,0.5230406996300033,0.8502071303905853,0.15990381725278027,0.3140668361658837,2308.0,0.09434801958166444,0.9000017562037899,facebook_seed7_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,7,0.2,0.9252120501909412,0.9220189453965257,0.9294615042278593,0.8936825885978429,1351.6681134169994,0.06429670800025633,0.8759234534935469,0.5092499159098554,0.8080333500480722,0.1689209498046288,0.2946531081972945,2452.0,0.09973297730307076,0.7999976583949469,facebook_seed7_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,7,0.3,0.9253383176520741,0.9189777562215831,0.9296840231419671,0.8926640926640926,1351.6681134169994,0.03973008400134859,0.8716510903426792,0.49915909855364954,0.682612594659894,0.17733694018635407,0.2658649767300653,2550.0,0.10418335558522475,0.6999994145987367,facebook_seed7_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,7,0.4,0.9241072028322832,0.9191228013150787,0.9285714285714286,0.8906009244992296,1351.6681134169994,0.03107300000010582,0.8639964396973743,0.4863773965691221,0.632735587751991,0.18966035467388037,0.23353846672965806,2711.0,0.11357365376056965,0.6000011708025266,facebook_seed7_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,7,0.5,0.9214157024067593,0.9166474723279605,0.9263462394303515,0.8847641144624904,1351.6681134169994,0.028438875000574626,0.8481085892300846,0.46485031954254963,0.5489059708639339,0.2073940486925158,0.20085096929171956,3038.0,0.13573653760569648,0.4999970729936835,facebook_seed7_cailp_a31.json
