dataset,method,method_display,edge_removal_rate_or_AUC,n,mean,std,ci_low,ci_high,seed_ids
lastfm,resistance_style_proxy,Resistance proxy,0.2,10,0.6582101526373874,0.037370327874281996,0.6314770305134711,0.6849432747613036,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.3,10,0.6131966021020385,0.030891065395264206,0.5910984651381989,0.6352947390658782,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.4,10,0.5903729259298214,0.026633337421647862,0.5713205840757279,0.6094252677839148,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.5,10,0.5584536412017742,0.026658032659510684,0.5393836334387305,0.5775236489648179,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.6,10,0.5302798910167098,0.025850888615634372,0.5117872793195803,0.5487725027138393,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.7,10,0.5244937733973678,0.019792717430583723,0.510334916295124,0.5386526304996117,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.8,10,0.4974156209111899,0.014178307596499495,0.48727307065680703,0.5075581711655728,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.9,10,0.4797941737448891,0.009433921948787035,0.4730455525282693,0.4865427949615089,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,AUC,10,0.45828558806120673,0.014186974756887984,0.44813683769378465,0.4684343384286288,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.1,10,0.9317470479390229,0.011132720739309062,0.9237831792757185,0.9397109166023272,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.2,10,0.9309562663448055,0.012017969383864709,0.9223591289501015,0.9395534037395096,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.3,10,0.9305307397573086,0.012153789543914918,0.9218364424731402,0.939225037041477,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.4,10,0.9293051891010997,0.012234315491309291,0.9205532870243515,0.938057091177848,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.5,10,0.9273441265757649,0.01282048958594315,0.918172900812309,0.9365153523392209,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.6,10,0.9238678339142522,0.014179609572138143,0.9137243522826048,0.9340113155458996,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.7,10,0.918647866776508,0.014143231314683456,0.9085304085825586,0.9287653249704574,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.8,10,0.9120861493096836,0.013726561221037128,0.902266758944743,0.9219055396746242,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,0.9,10,0.9048196009896421,0.012390650103418176,0.8959558638684768,0.9136833381108074,0 1 2 3 4 5 6 7 8 9
facebook,cailp_social_multi,CILP,AUC,10,0.7391021496243756,0.009954633325802901,0.7319810339281808,0.7462232653205704,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.1,10,0.9192959817029998,0.01624670453398704,0.90767378941506,0.9309181739909395,0 1 2 3 4 5 6 7 8 9
