dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,cailp_social_multi,7,0.6,0.9386066397830028,0.9451713395638629,0.9239825092499159,0.6922578408887283,1408.786120708999
facebook,cailp_social_multi,7,0.7,0.9299866936471334,0.8646194926568759,0.8752102253615877,0.6162933497225835,1408.786120708999
facebook,cailp_social_multi,7,0.8,0.917321870718244,0.7268802848242101,0.7928018836192399,0.4927498646047717,1408.786120708999
facebook,cailp_social_multi,7,0.9,0.9116662261819357,0.4330663106364041,0.5967036663303061,0.32059165198432016,1408.786120708999
facebook,cailp_social_multi,8,0.1,0.9424917249762721,0.9977303070761014,0.9835183316515305,0.9982844737663523,1204.307902999999
facebook,cailp_social_multi,8,0.2,0.9435626521230543,0.9976412995104584,0.9828456104944501,0.9747540000366584,1204.307902999999
facebook,cailp_social_multi,8,0.3,0.9420930142639309,0.9974187805963507,0.9818365287588294,0.9127394857644513,1204.307902999999
facebook,cailp_social_multi,8,0.4,0.9396438414267614,0.9946150422785937,0.9808274470232089,0.8317904723273668,1204.307902999999
facebook,cailp_social_multi,8,0.5,0.9389174396835487,0.9860258121940365,0.9791456441305079,0.7890017524674054,1204.307902999999
facebook,cailp_social_multi,8,0.6,0.9382072465443997,0.9677792612372051,0.9771274806592667,0.6833893819862097,1204.307902999999
facebook,cailp_social_multi,8,0.7,0.9361516528923322,0.9313751668891855,0.9720820719811638,0.5621439611722888,1204.307902999999
facebook,cailp_social_multi,8,0.8,0.9291621556410782,0.8188251001335114,0.944836865119408,0.4165264015401425,1204.307902999999
facebook,cailp_social_multi,8,0.9,0.9166867591883775,0.432977303070761,0.8109653548604103,0.2747928298872301,1204.307902999999
facebook,cailp_social_multi,9,0.1,0.9152392037197584,0.8741878059635069,0.5509586276488395,0.5580333759911094,1221.437656582999
facebook,cailp_social_multi,9,0.2,0.9125640979647346,0.8611927013796172,0.5227043390514632,0.4274015781515285,1221.437656582999
facebook,cailp_social_multi,9,0.3,0.9110076369055555,0.8517133956386292,0.5116044399596368,0.30732131265325374,1221.437656582999
facebook,cailp_social_multi,9,0.4,0.9110858401210252,0.8477525589675122,0.506895391860074,0.23611469520844813,1221.437656582999
facebook,cailp_social_multi,9,0.5,0.9115609239243543,0.841967067200712,0.5042045072317525,0.21879854576310787,1221.437656582999
facebook,cailp_social_multi,9,0.6,0.9109094764125072,0.8315976858032933,0.49848637739656915,0.2068876099269216,1221.437656582999
facebook,cailp_social_multi,9,0.7,0.9062844443538713,0.803871829105474,0.4877228388832829,0.18769419021121483,1221.437656582999
facebook,cailp_social_multi,9,0.8,0.899457785019756,0.7079216733422341,0.4406323578876556,0.12438502183720558,1221.437656582999
facebook,cailp_social_multi,9,0.9,0.890821840692484,0.43248776145972406,0.3686511940800538,0.03592697866631021,1221.437656582999
facebook,neuralsparse,0,0.1,0.9303556503994095,0.9630618602581219,0.8705011772620249,0.9444911298565041,8.618867916999989
facebook,neuralsparse,0,0.2,0.9236345297090717,0.9228304405874499,0.7685839219643458,0.8886910168901332,8.618867916999989
facebook,neuralsparse,0,0.3,0.9182781230580317,0.8703604806408545,0.6851664984863775,0.83120788183263,8.618867916999989
facebook,neuralsparse,0,0.4,0.906611896445435,0.8115264797507789,0.5963673057517659,0.7712001366169453,8.618867916999989
facebook,neuralsparse,0,0.5,0.8970247677981884,0.7418335558522474,0.5045408678102926,0.7067581106023464,8.618867916999989
